CTR;Steer
-0.003;0.0380475
-0.0159;-0.0104096
-0.0408;0.0173458
-0.0531;-0.0059826
-0.0756;0.0178302
-0.0912;0.0064158
-0.1491;0.0997753
-0.057;-0.214011
-0.0266;-0.0951579
0.0373;-0.171762
0.0561;-0.0844095
0.09;-0.11974
0.1056;-0.0855324
0.134;-0.115459
0.1469;-0.0864678
0.1589;-0.0865473
0.1988;-0.148432
0.2067;-0.08572
0.2189;-0.0962595
0.2235;-0.0818612
0.2271;-0.0805147
0.2318;-0.0835357
0.233;-0.0768322
0.2327;-0.0739035
0.2291;-0.0668781
0.2262;-0.0679562
0.2225;-0.0659124
0.213;-0.0529939
0.2071;-0.0594125
0.1937;-0.0424993
0.186;-0.0528373
0.1778;-0.0506962
0.1596;-0.028046
0.1498;-0.0434509
0.1395;-0.0409757
0.1288;-0.038635
0.0939;0.014953
0.0815;-0.0282278
0.069;-0.0261873
0.0432;0.00426115
0.0298;-0.0185438
0.0165;-0.016757
-0.0108;0.0153434
-0.0529;0.0512848
-0.0669;-0.0027817
-0.0939;0.0273152
-0.1071;0.0017488
-0.1327;0.0304552
-0.1576;0.0328689
-0.1697;0.0091688
-0.1926;0.0343001
-0.2037;0.0124669
-0.2245;0.0350992
-0.2344;0.0149014
-0.2438;0.0154333
-0.2616;0.0350341
-0.27;0.0176291
-0.2853;0.0338667
-0.2923;0.0184629
-0.3048;0.0314903
-0.3145;0.0275025
-0.3236;0.0278293
-0.3446;0.0549517
-0.2766;-0.13311
-0.2468;-0.0610567
-0.1893;-0.124987
-0.1611;-0.0705365
-0.1067;-0.131043
-0.0802;-0.079178
-0.0545;-0.0814057
-0.0046;-0.137288
0.0196;-0.0895283
0.0428;-0.0910297
0.0874;-0.140563
0.1087;-0.0972127
0.1289;-0.0981071
0.167;-0.139706
0.1848;-0.101868
0.217;-0.135607
0.2316;-0.102712
0.2574;-0.129111
